
Schematic Net Listing
-------------------------------- -------------------------------- --- --- --- --- --- ---- --- - -------------------- ---
Part                             Reference                        Sym Sub Pin Eqv Sub Pin  Pin Phantom    Net         Net
Number                           Designator                       Num Typ Id  Cls Pak Text Num Flag       Name        Num
-------------------------------- -------------------------------- --- --- --- --- --- ---- --- - -------------------- ---
A13060051                        C1                                83   1   1   1   1 1      1 0 +3.3V_DC            778241
A13060051                        C1                                83   1   2   2   1 2      2 0 AGND                724993
A13060051                        C3                                82   1   1   1   1 1      1 0 +3.3V_DC            778241
A13060051                        C3                                82   1   2   2   1 2      2 0 AGND                724993
A13060051                        C4                                81   1   1   1   1 1      1 0 +3.3V_DC            778241
A13060051                        C4                                81   1   2   2   1 2      2 0 AGND                724993
A13060051                        C7                                88   1   1   1   1 1      1 0 VCC5                737281
A13060051                        C7                                88   1   2   2   1 2      2 0 AGND                724993
A13060051                        C10                               84   1   1   1   1 1      1 0 +3.3V_DC            778241
A13060051                        C10                               84   1   2   2   1 2      2 0 AGND                724993
A13060051                        C12                               85   1   1   1   1 1      1 0 +3.3V_DC            778241
A13060051                        C12                               85   1   2   2   1 2      2 0 AGND                724993
A13060051                        C14                               86   1   1   1   1 1      1 0 +3.3V_DC            778241
A13060051                        C14                               86   1   2   2   1 2      2 0 AGND                724993
A13060051                        C26                               87   1   1   1   1 1      1 0 E_TEMP              729089
A13060051                        C26                               87   1   2   2   1 2      2 0 AGND                724993
A13060168                        C2                                50   1   1   1   1 1      1 0 DISPLAY_KEY         753665
A13060168                        C2                                50   1   2   1   1 2      2 0 AGND                724993
A13060168                        C6                                48   1   1   1   1 1      1 0 DISPLAY_CLK         409601
A13060168                        C6                                48   1   2   1   1 2      2 0 AGND                724993
A13060168                        C11                               49   1   1   1   1 1      1 0 DISPLAY_MO          413697
A13060168                        C11                               49   1   2   1   1 2      2 0 AGND                724993
A20040005                        J2                                97   1   1   1   1 1      1 0 AGND                724993
A20040005                        J2                                97   1   2   2   1 2      2 0 XSIG010281          761857
A20040005                        J2                                97   1   3   3   1 3      3 0 XSIG010278          757761
A20040005                        J2                                97   1   4   4   1 4      4 0 XSIG010282          765953
A20040005                        J2                                97   1   5   5   1 5      5 0 +3.3V_DC            778241
A20040005                        J2                                97   1   6   6   1 6      6 0 E_TEMP              729089
A20040005                        J2                                97   1   7   7   1 7      7 0 FAN2_BAD_DSP        741377
A20040005                        J2                                97   1   8   8   1 8      8 0 VCC5                737281
Schematic Net Listing
-------------------------------- -------------------------------- --- --- --- --- --- ---- --- - -------------------- ---
Part                             Reference                        Sym Sub Pin Eqv Sub Pin  Pin Phantom    Net         Net
Number                           Designator                       Num Typ Id  Cls Pak Text Num Flag       Name        Num
-------------------------------- -------------------------------- --- --- --- --- --- ---- --- - -------------------- ---
A20040005                        J2                                97   1   9   9   1 9      9 0                        0
A20040005                        J2                                97   1  10  10   1 10    10 0 FAN1_BAD_DSP        733185
A20040005                        J2                                97   1  11  11   1 11    11 0 FAN_GND             720897
A20040005                        J2                                97   1  12  12   1 12    12 0 VFAN                749569
A20040005                        J2                                97   1  13  13   1 13    13 0 FAN_GND             720897
A20040005                        J2                                97   1  14  14   1 14    14 0 VFAN                749569
A20060004                        J3                                92   1   1   1   1 1      1 0 VFAN                749569
A20060004                        J3                                92   1   2   2   1 2      2 0 FAN1_BAD            696321
A20060004                        J3                                92   1   3   3   1 3      3 0 FAN_GND             720897
A20060004                        J4                                91   1   1   1   1 1      1 0 VFAN                749569
A20060004                        J4                                91   1   2   2   1 2      2 0 FAN2_BAD            700417
A20060004                        J4                                91   1   3   3   1 3      3 0 FAN_GND             720897
A22010017                        D4                                39   1   1   1   1 3      3 0 XSIG010094          344065
A22010017                        D4                                39   1   2   2   1 1      1 0 COM1                49153
A22010017                        D4                                39   1   3   2   1 2      2 0 COM1                49153
A22010017                        D5                                38   1   1   1   1 3      3 0 XSIG010033          106497
A22010017                        D5                                38   1   2   2   1 1      1 0 COM2                57345
A22010017                        D5                                38   1   3   2   1 2      2 0 COM2                57345
A22020005                        D2                                93   1   1   1   1 2      2 0 XSIG010030          94209
A22020005                        D2                                93   1   2   2   1 1      1 0 AGND                724993
A22020034                        D1                                95   1   1   1   1 2      2 0 XSIG010027          81921
A22020034                        D1                                95   1   2   2   1 1      1 0 AGND                724993
A22020035                        D3                                94   1   1   1   1 2      2 0 XSIG010024          69633
A22020035                        D3                                94   1   2   2   1 1      1 0 AGND                724993
A22040005                        D6                                77   1   1   1   1 1      1 0 XSIG010194          520193
A22040005                        D6                                77   1   2   2   1 3      3 0 FAN2_BAD            700417
A22040005                        D6                                 0   3   1   1   2 2      2 1                        0
A22040005                        D7                                78   1   1   1   1 1      1 0 XSIG010193          516097
A22040005                        D7                                78   1   2   2   1 3      3 0 FAN1_BAD            696321
A22040005                        D7                                 0   3   1   1   2 2      2 1                        0
A24010001                        Q1                                 3   1   1   1   1 3      3 0 XSIG010178          491521
A24010001                        Q1                                 3   1   2   2   1 1      1 0 XSIG010180          495617
A24010001                        Q1                                 3   1   3   3   1 2      2 0 FAN_GND             720897
A24010001                        Q2                                 5   1   1   1   1 3      3 0 COM1                49153
A24010001                        Q2                                 5   1   2   2   1 1      1 0 XSIG010089          323585
A24010001                        Q2                                 5   1   3   3   1 2      2 0 AGND                724993
A24010001                        Q3                                 6   1   1   1   1 3      3 0 COM2                57345
A24010001                        Q3                                 6   1   2   2   1 1      1 0 XSIG010088          319489
A24010001                        Q3                                 6   1   3   3   1 2      2 0 AGND                724993
A24010001                        Q4                                 7   1   1   1   1 3      3 0 COM3                65537
A24010001                        Q4                                 7   1   2   2   1 1      1 0 XSIG010087          315393
A24010001                        Q4                                 7   1   3   3   1 2      2 0 AGND                724993
