
Schematic Net Listing
-------------------------------- -------------------------------- --- --- --- --- --- ---- --- - -------------------- ---
Part                             Reference                        Sym Sub Pin Eqv Sub Pin  Pin Phantom    Net         Net
Number                           Designator                       Num Typ Id  Cls Pak Text Num Flag       Name        Num
-------------------------------- -------------------------------- --- --- --- --- --- ---- --- - -------------------- ---
-------------------------------- -------------------------------- --- --- --- --- --- ---- --- - -------------------- ---
Part                             Reference                        Sym Sub Pin Eqv Sub Pin  Pin Phantom    Net         Net
Number                           Designator                       Num Typ Id  Cls Pak Text Num Flag       Name        Num
-------------------------------- -------------------------------- --- --- --- --- --- ---- --- - -------------------- ---
07090522                         R569                            1132   1   1   1   1 1      1 0 XSIG170356          153387009
07090522                         R569                            1132   1   2   1   1 2      2 0 CANA_RX             153411585
07090522                         R570                            1131   1   1   1   1 1      1 0 XSIG170369          153423873
07090522                         R570                            1131   1   2   1   1 2      2 0 GND_para_1          153743361
07090522                         R571                            1130   1   1   1   1 1      1 0 XSIG170363          153407489
07090522                         R571                            1130   1   2   1   1 2      2 0 GND                 153853953
07090522                         R572                            1129   1   1   1   1 1      1 0 XSIG170417          153579521
07090522                         R572                            1129   1   2   1   1 2      2 0 GND_para_1          153743361
07090547                         R365                             803   1   1   1   1 1      1 0 XSIG060785          149827585
07090547                         R365                             803   1   2   1   1 2      2 0 IL_A_DSP            153292801
07090547                         R366                             802   1   1   1   1 1      1 0 XSIG060793          149852161
07090547                         R366                             802   1   2   1   1 2      2 0 DC1_I_L_DSP         153341953
07090547                         R367                             801   1   1   1   1 1      1 0 XSIG060802          149876737
07090547                         R367                             801   1   2   1   1 2      2 0 DC2_I_L_DSP         153350145
07090547                         R368                             800   1   1   1   1 1      1 0 XSIG060813          149901313
07090547                         R368                             800   1   2   1   1 2      2 0 IL_B_DSP            153300993
07090547                         R369                             799   1   1   1   1 1      1 0 XSIG060824          149925889
07090547                         R369                             799   1   2   1   1 2      2 0 IL_C_DSP            153309185
07090547                         R370                             795   1   1   1   1 1      1 0 REF1.5V             150089729
07090547                         R370                             795   1   2   1   1 2      2 0 XSIG060783          149823489
07090547                         R371                             794   1   1   1   1 1      1 0 REF1.5V             150089729
07090547                         R371                             794   1   2   1   1 2      2 0 XSIG060791          149848065
07090547                         R372                             797   1   1   1   1 1      1 0 REF1.5V             150089729
07090547                         R372                             797   1   2   1   1 2      2 0 XSIG060799          149872641
07090547                         R373                             796   1   1   1   1 1      1 0 REF1.5V             150089729
07090547                         R373                             796   1   2   1   1 2      2 0 XSIG060811          149897217
07090547                         R374                             798   1   1   1   1 1      1 0 REF1.5V             150089729
07090547                         R374                             798   1   2   1   1 2      2 0 XSIG060821          149921793
07090554                         R526                            1109   1   1   1   1 1      1 0 DRV_A_G1_DSP        151097345
07090554                         R526                            1109   1   2   1   1 2      2 0 XSIG100271          151093249
07090554                         R527                            1108   1   1   1   1 1      1 0 DRV_A_G2_DSP        151146497
07090554                         R527                            1108   1   2   1   1 2      2 0 XSIG100283          151142401
07090554                         R528                            1107   1   1   1   1 1      1 0 DRV_A_G3_DSP        151183361
07090554                         R528                            1107   1   2   1   1 2      2 0 XSIG100295          151179265
07090554                         R529                            1106   1   1   1   1 1      1 0 DRV_A_G4_DSP        151220225
07090554                         R529                            1106   1   2   1   1 2      2 0 XSIG100309          151216129
07090554                         R530                            1105   1   1   1   1 1      1 0 DRV_B_G1_DSP        151257089
07090554                         R530                            1105   1   2   1   1 2      2 0 XSIG100319          151252993
07090554                         R531                            1104   1   1   1   1 1      1 0 DRV_B_G2_DSP        151293953
07090554                         R531                            1104   1   2   1   1 2      2 0 XSIG100332          151289857
07090554                         R532                            1103   1   1   1   1 1      1 0 DRV_B_G3_DSP        151330817
07090554                         R532                            1103   1   2   1   1 2      2 0 XSIG100346          151326721
07090554                         R533                            1102   1   1   1   1 1      1 0 DRV_B_G4_DSP        151367681
07090554                         R533                            1102   1   2   1   1 2      2 0 XSIG100356          151363585
07090554                         R534                            1101   1   1   1   1 1      1 0 DRV_C_G1_DSP        151486465
07090554                         R534                            1101   1   2   1   1 2      2 0 XSIG110138          151482369
07090554                         R535                            1100   1   1   1   1 1      1 0 DRV_C_G2_DSP        151523329
07090554                         R535                            1100   1   2   1   1 2      2 0 XSIG110148          151519233
07090554                         R536                            1099   1   1   1   1 1      1 0 DRV_C_G3_DSP        151560193
07090554                         R536                            1099   1   2   1   1 2      2 0 XSIG110157          151556097
